0;0;0;0;land;false;unknown;0
1;175;215;177;land;false;forest;1
2;238;241;89;land;false;plains;1
3;156;252;204;land;false;plains;1
4;141;188;209;land;false;forest;1
5;226;226;139;land;false;desert;1
6;237;75;231;land;false;plains;1
7;141;201;201;land;true;plains;1
8;212;92;249;land;false;mountain;1
9;200;221;111;land;false;jungle;1
10;137;161;211;land;false;desert;1
11;254;85;211;land;false;mountain;1
12;213;60;251;land;false;forest;1
13;167;154;238;land;false;plains;1
14;154;237;143;land;true;plains;1
15;238;231;35;land;false;plains;1
16;114;214;193;land;false;forest;1
17;172;238;197;land;false;mountain;1
18;86;207;248;land;false;plains;1
19;183;241;115;land;false;plains;1
20;205;118;221;land;false;plains;1
21;182;194;197;land;false;urban;1
22;224;192;147;land;false;plains;1
23;135;182;229;land;false;jungle;1
24;135;247;123;land;false;plains;1
25;202;175;233;land;false;plains;1
26;253;241;148;land;true;plains;1
27;206;147;229;land;false;forest;1
28;242;246;65;land;false;plains;1
29;186;219;196;land;false;plains;1
30;254;153;240;land;false;mountain;1
31;241;191;160;land;false;forest;1
32;208;100;217;land;true;desert;1
33;209;208;253;land;false;plains;1
34;220;241;161;land;false;mountain;1
35;71;204;229;land;false;plains;1
36;128;240;216;land;false;hills;1
37;236;136;193;land;false;mountain;1
38;94;175;242;land;false;jungle;1
39;242;251;16;land;false;plains;1
40;229;220;171;land;false;plains;1
41;249;190;97;land;false;forest;1
42;234;207;147;land;false;jungle;1
43;250;180;197;land;false;desert;1
44;175;229;161;land;false;plains;1
45;71;235;231;land;false;forest;1
46;245;117;145;land;false;plains;1
47;170;173;173;land;false;desert;1
48;246;248;118;land;false;jungle;1
49;240;179;130;land;false;desert;1
50;194;167;172;land;false;plains;1
51;218;122;184;land;false;plains;1
52;135;183;227;land;false;jungle;1
53;204;221;84;land;false;forest;1
54;191;180;157;land;false;forest;1
55;180;192;245;land;true;mountain;1
56;216;190;136;land;false;plains;1
57;246;206;246;land;false;desert;1
58;58;248;218;land;false;jungle;1
59;53;249;237;land;false;plains;1
60;197;173;144;land;false;plains;1
61;240;208;64;land;false;forest;1
62;231;197;108;land;false;jungle;1
63;111;203;226;land;false;desert;1
64;189;144;223;land;false;mountain;1
65;203;111;204;land;false;forest;1
66;213;140;155;land;true;forest;1
67;223;203;211;land;false;plains;1
68;175;182;218;land;false;plains;1
69;202;97;224;land;true;forest;1
70;121;240;239;land;false;plains;1
71;215;194;126;land;false;mountain;1
72;81;192;241;land;false;forest;1
73;110;218;199;land;false;mountain;1
