1;arms_factory;1703.00;12.23;3981.00;0.19;0
1;arms_factory;1965.00;14.85;3943.00;1.75;0
1;arms_factory;2034.00;15.73;3739.00;4.42;0
1;arms_factory;1793.00;15.10;3925.00;0.80;0
1;arms_factory;2038.00;9.70;3552.00;3.81;0
1;arms_factory;2075.00;14.43;3864.00;5.02;0
1;industrial_complex;1809.00;15.40;3909.00;2.86;0
1;industrial_complex;1990.00;16.45;3886.00;0.70;0
1;industrial_complex;1868.00;15.70;3923.00;0.80;0
1;industrial_complex;1912.00;12.60;3758.00;4.93;0
1;industrial_complex;1957.00;10.25;3685.00;1.31;0
1;industrial_complex;1981.00;14.60;3949.00;5.43;0
1;air_base;1853.00;10.10;3780.00;5.54;0
1;naval_base;1666.00;9.50;3855.00;-0.30;10084
1;naval_base;1743.00;11.23;4048.00;-2.39;11392
1;naval_base;1840.00;9.50;3788.00;-1.57;13102
1;naval_base;2152.00;11.68;3833.00;-3.82;12170
1;naval_base;2058.00;9.80;3531.00;-0.94;12134
1;naval_base;1753.00;9.93;4076.00;-1.27;11392
1;naval_base;1890.00;11.05;4061.00;1.46;13251
1;naval_base;1905.00;9.55;3748.00;-0.79;11315
1;naval_base;2178.00;10.50;3774.00;0.86;13132
1;naval_base;2125.00;9.50;3890.00;1.33;10062
1;naval_base;1971.00;9.50;3603.00;-1.17;8896
1;naval_base;1870.00;9.50;4074.00;-1.64;10950
1;naval_base;1843.00;9.75;3760.00;-1.57;10026
1;naval_base;2172.00;10.10;3860.00;1.22;10413
1;naval_base;1938.00;9.50;3692.00;-1.97;9459
1;naval_base;2153.00;9.78;3676.00;0.14;13003
1;naval_base;1804.00;9.95;4083.00;-4.28;12069
1;naval_base;1938.00;9.50;3636.00;-1.19;10329
1;naval_base;1994.00;10.82;3966.00;-4.39;10980
1;naval_base;2006.00;9.55;3581.00;-1.69;12241
1;naval_base;2010.00;9.57;3595.00;-0.93;12241
1;naval_base;1813.00;9.98;4039.00;-3.14;12069
1;naval_base;2067.00;9.53;3955.00;-3.77;12320
1;naval_base;1692.00;9.70;3969.00;-2.76;9295
1;naval_base;1954.00;9.50;3619.00;-0.43;8896
1;naval_base;1719.00;9.50;3863.00;-0.40;12945
1;naval_base;2163.00;9.80;3537.00;-4.15;11656
1;naval_base;2143.00;9.82;3669.00;0.64;13003
1;naval_base;1868.00;11.03;3773.00;0.00;11315
1;naval_base;1655.00;9.70;3924.00;-2.28;11850
1;naval_base;2178.00;9.50;3497.00;0.00;12664
1;naval_base;1917.00;9.70;4025.00;-2.72;13256
1;naval_base;1753.00;10.50;4008.00;-3.43;12140
1;naval_base;2082.00;10.60;3883.00;-4.22;10062
1;naval_base;2148.00;10.00;3586.00;1.57;8823
1;naval_base;2137.00;10.28;3624.00;-4.15;13003
1;naval_base;2064.00;9.50;3895.00;0.79;12320
1;naval_base;1768.00;9.50;3849.00;-0.98;11066
1;naval_base;2167.00;10.43;3839.00;-2.42;12170
1;naval_base;2158.00;9.50;3760.00;0.69;9776
1;naval_base;1958.00;11.03;3992.00;-3.56;10980
1;naval_base;1687.00;9.53;3975.00;-0.93;9295
1;naval_base;1763.00;9.55;3855.00;-0.59;11066
1;naval_base;2115.00;9.70;3512.00;0.00;13356
